steps,success_rate,ep_reward,ep_length,actor_loss,critic_loss
98184,0.3,-0.4904658240931375,150.0,-7.991125593185425,0.019271159249668317
99234,0.0,-0.4869375058582851,150.0,-8.011143145334152,0.019791625084444174
100284,0.0,-0.5104369946888515,150.0,-8.014366115388416,0.01902614223903843
101334,0.0,-0.5404963706220899,150.0,-7.96993450936817,0.02164917379573342
102384,0.0,-0.507071214062827,150.0,-8.014544250851586,0.021173118643817445
103434,0.1,-0.47790629097393583,150.0,-8.089208848589942,0.02320473913103342
104484,0.3,-0.5547710486820766,150.0,-8.01993416967846,0.022520263449155857
105534,0.0,-0.5073488099234444,150.0,-8.04164917310079,0.023524005858759797
106584,0.0,-0.5366329763616834,150.0,-8.008558308737618,0.023418318618621144
107634,0.0,-0.5224203211920602,150.0,-8.047756612414405,0.02439783688324193
108684,0.4,-0.4965684286185673,150.0,-8.075889227276756,0.023844629118573806
109734,0.1,-0.5012921648366111,150.0,-8.054776381083897,0.02421051653811619
110784,0.0,-0.523112028837204,150.0,-8.05374052365621,0.026958955415480195
111834,0.1,-0.511828533240727,150.0,-8.03812562942505,0.026927942059756745
112884,0.2,-0.5554786537374768,150.0,-8.079179780142647,0.027251253669105826
113934,0.0,-0.5106087412152972,150.0,-8.079790448234196,0.029451184211564913
114984,0.1,-0.5209700507777077,150.0,-8.140859840483893,0.030154521060841426
116034,0.2,-0.4873999399798257,150.0,-8.061597764151438,0.031433229086743224
117084,0.2,-0.524115081344332,150.0,-8.13365715435573,0.031943345216235944
118134,0.2,-0.5329982255186353,150.0,-8.120127198809667,0.032722448989571565
119184,0.1,-0.5184563951832908,150.0,-8.146971935090564,0.03209273695236161
120234,0.0,-0.5182380165372577,150.0,-8.084940818150839,0.03425716694976603
121284,0.2,-0.5032821723393032,150.0,-8.158852781114124,0.034360689331023465
122334,0.2,-0.5006722637585231,150.0,-8.14872951280503,0.035393781523619376
123384,0.1,-0.4944718267236437,150.0,-8.165331319627308,0.03650571841923963
124434,0.0,-0.5163250693253109,150.0,-8.142246516999746,0.036873688276502344
125484,0.0,-0.5017669796943665,150.0,-8.177161284855435,0.037615652835617464
126534,0.3,-0.5390447974205017,150.0,-8.201331672214327,0.03771801068048392
127584,0.1,-0.534804744379861,150.0,-8.182066454660324,0.03866712202894546
128634,0.2,-0.5292901950223106,150.0,-8.238965237027122,0.04050110282819896
129684,0.0,-0.5354746920721871,150.0,-8.161996120725359,0.04044567299740654
130734,0.0,-0.49701511434146334,150.0,-8.167618154798236,0.04152469082425038
131784,0.2,-0.4897267094680241,150.0,-8.222620714732578,0.04117328938096763
132789,0.0,-0.45065210121018545,143.57142857142858,-8.250383252578528,0.041589647208144065
133839,0.2,-0.5203014739922115,150.0,-8.232351948420206,0.04125559399791417
134889,0.3,-0.4869595297745296,150.0,-8.301498953047252,0.040473472236522604
135939,0.1,-0.48914166007723126,150.0,-8.233511129560926,0.042508142244602955
136989,0.0,-0.5051281196730477,150.0,-8.317982262656802,0.045076769415643946
138039,0.1,-0.5039270051888057,150.0,-8.279562527338664,0.041811146347650464
139089,0.3,-0.5143937255655017,150.0,-8.246930621010916,0.04376704728230834
140139,0.1,-0.5096078813076019,150.0,-8.246058531715756,0.04444015871023848
141189,0.1,-0.5149088501930237,150.0,-8.247599729356311,0.04405871035619861
142239,0.1,-0.5311316464628492,150.0,-8.29062448637826,0.04468997947960383
143289,0.1,-0.5437235704490117,150.0,-8.245170830317905,0.045869914968276304
144339,0.3,-0.5301183547292437,150.0,-8.239004758199057,0.04588690108575282
145389,0.0,-0.5199589942182813,150.0,-8.262966532934282,0.046811310252440834
146439,0.2,-0.4747594382081713,150.0,-8.30163436526344,0.04857889653671355
147489,0.0,-0.5160594369683947,150.0,-8.282425556182861,0.0467848975885482
148539,0.0,-0.4852721946580069,150.0,-8.302833236058552,0.04688695827499032
149589,0.4,-0.5162963100842067,150.0,-7.307674857094175,0.04758312878864152
150639,0.0,-0.5222431250980922,150.0,-8.253838827496482,0.0508700227524553
151689,0.0,-0.5120422499520438,150.0,-8.293865559441702,0.04663266101674664
152739,0.0,-0.49163282769066946,150.0,-8.282379422414872,0.04758280652974333
153789,0.1,-0.5147385171481541,150.0,-8.232804376511346,0.04841224351631744
154839,0.2,-0.49811077969414846,150.0,-8.265929170790173,0.048841460944995994
155889,0.3,-0.5054301747253963,150.0,-8.264640958422707,0.052607981797662524
156939,0.0,-0.5178738023553576,150.0,-8.33519809450422,0.05278945802577904
157989,0.1,-0.5099254250526428,150.0,-8.354240394319806,0.05286573412340312
159039,0.1,-0.5297133667128426,150.0,-8.28217908859253,0.051121748853474855
